#UbUs_1-2023-06-21-Wed-21-47-18.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1             0       0.635902 
stat-001    1          0.03       0.624235 
stat-001    1          0.06       0.612871 
stat-001    1          0.09       0.601799 
stat-001    1          0.12       0.591006 
stat-001    1          0.15       0.580487 
stat-001    1          0.18       0.570233 
stat-001    1          0.21       0.560238 
stat-001    1          0.24       0.550489 
stat-001    1          0.27       0.540981 
stat-001    1           0.3       0.531706 
stat-001    1          0.33       0.522657 
stat-001    1          0.36       0.513826 
stat-001    1          0.39       0.505207 
stat-001    1          0.42       0.496795 
stat-001    1          0.45       0.488581 
stat-001    1          0.48        0.48056 
stat-001    1          0.51       0.472726 
stat-001    1          0.54       0.465074 
stat-001    1          0.57       0.457598 
stat-001    1           0.6       0.450293 
stat-001    1          0.63       0.443155 
stat-001    1          0.66       0.436177 
stat-001    1          0.69       0.429355 
stat-001    1          0.72       0.422685 
stat-001    1          0.75       0.416161 
stat-001    1          0.78       0.409781 
stat-001    1          0.81       0.403542 
stat-001    1          0.84       0.397437 
stat-001    1          0.87       0.391462 
stat-001    1           0.9       0.385617 
stat-001    1          0.93       0.379898 
stat-001    1          0.96       0.374299 
stat-001    1          0.99       0.368819 
stat-001    1          1.02       0.363454 
stat-001    1          1.05       0.358202 
stat-001    1          1.08       0.353058 
stat-001    1          1.11       0.348023 
stat-001    1          1.14        0.34309 
stat-001    1          1.17       0.338258 
stat-001    1           1.2       0.333524 
stat-001    1          1.23       0.328886 
stat-001    1          1.26       0.324339 
stat-001    1          1.29       0.319884 
stat-001    1          1.32       0.315518 
stat-001    1          1.35       0.311238 
stat-001    1          1.38       0.307042 
stat-001    1          1.41       0.302929 
stat-001    1          1.44       0.298896 
stat-001    1          1.47       0.294939 
stat-001    1           1.5       0.291059 
stat-001    1          1.53       0.287255 
stat-001    1          1.56       0.283523 
stat-001    1          1.59       0.279863 
stat-001    1          1.62       0.276271 
stat-001    1          1.65       0.272746 
stat-001    1          1.68       0.269287 
stat-001    1          1.71       0.265893 
stat-001    1          1.74       0.262562 
stat-001    1          1.77       0.259292 
stat-001    1           1.8       0.256083 
stat-001    1          1.83       0.252931 
stat-001    1          1.86       0.249836 
stat-001    1          1.89       0.246798 
stat-001    1          1.92       0.243814 
stat-001    1          1.95       0.240881 
stat-001    1          1.98       0.238003 
stat-001    1          2.01       0.235175 
stat-001    1          2.04       0.232397 
stat-001    1          2.07       0.229667 
stat-001    1           2.1       0.226983 
stat-001    1          2.13       0.224347 
stat-001    1          2.16       0.221757 
stat-001    1          2.19       0.219211 
stat-001    1          2.22       0.216708 
stat-001    1          2.25       0.214249 
stat-001    1          2.28       0.211829 
stat-001    1          2.31       0.209451 
stat-001    1          2.34       0.207113 
stat-001    1          2.37       0.204814 
stat-001    1           2.4       0.202554 
stat-001    1          2.43       0.200333 
stat-001    1          2.46        0.19815 
stat-001    1          2.49       0.196001 
stat-001    1          2.52       0.193889 
stat-001    1          2.55       0.191812 
stat-001    1          2.58       0.189768 
stat-001    1          2.61       0.187758 
stat-001    1          2.64        0.18578 
stat-001    1          2.67       0.183834 
stat-001    1           2.7       0.181919 
stat-001    1          2.73       0.180035 
stat-001    1          2.76       0.178178 
stat-001    1          2.79       0.176352 
stat-001    1          2.82       0.174553 
stat-001    1          2.85       0.172783 
stat-001    1          2.88       0.171038 
stat-001    1          2.91       0.169322 
stat-001    1          2.94       0.167632 
stat-001    1          2.97       0.165966 
stat-001    1             3       0.164325 
stat-001    1          3.03       0.162709 
stat-001    1          3.06       0.161119 
stat-001    1          3.09       0.159551 
stat-001    1          3.12       0.158006 
stat-001    1          3.15       0.156483 
stat-001    1          3.18       0.154983 
stat-001    1          3.21       0.153504 
stat-001    1          3.24       0.152048 
stat-001    1          3.27       0.150613 
stat-001    1           3.3       0.149199 
stat-001    1          3.33       0.147805 
stat-001    1          3.36       0.146429 
stat-001    1          3.39       0.145074 
stat-001    1          3.42       0.143738 
stat-001    1          3.45       0.142424 
stat-001    1          3.48       0.141128 
