#UbUs_1-2023-06-21-Wed-19-14-57.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1             0       0.751636 
stat-001    1          0.03       0.743119 
stat-001    1          0.06       0.734832 
stat-001    1          0.09       0.726765 
stat-001    1          0.12       0.718906 
stat-001    1          0.15       0.711245 
stat-001    1          0.18       0.703772 
stat-001    1          0.21       0.696482 
stat-001    1          0.24       0.689362 
stat-001    1          0.27       0.682407 
stat-001    1           0.3        0.67561 
stat-001    1          0.33       0.668962 
stat-001    1          0.36       0.662459 
stat-001    1          0.39       0.656095 
stat-001    1          0.42       0.649865 
stat-001    1          0.45       0.643763 
stat-001    1          0.48       0.637784 
stat-001    1          0.51       0.631926 
stat-001    1          0.54       0.626184 
stat-001    1          0.57       0.620553 
stat-001    1           0.6       0.615028 
stat-001    1          0.63       0.609607 
stat-001    1          0.66       0.604285 
stat-001    1          0.69       0.599058 
stat-001    1          0.72       0.593925 
stat-001    1          0.75       0.588884 
stat-001    1          0.78        0.58393 
stat-001    1          0.81       0.579062 
stat-001    1          0.84       0.574274 
stat-001    1          0.87       0.569565 
stat-001    1           0.9       0.564933 
stat-001    1          0.93       0.560378 
stat-001    1          0.96       0.555896 
stat-001    1          0.99       0.551486 
stat-001    1          1.02       0.547144 
stat-001    1          1.05       0.542869 
stat-001    1          1.08       0.538657 
stat-001    1          1.11        0.53451 
stat-001    1          1.14       0.530424 
stat-001    1          1.17       0.526399 
stat-001    1           1.2       0.522433 
stat-001    1          1.23       0.518524 
stat-001    1          1.26       0.514671 
stat-001    1          1.29       0.510873 
stat-001    1          1.32       0.507129 
stat-001    1          1.35       0.503436 
stat-001    1          1.38       0.499794 
stat-001    1          1.41       0.496204 
stat-001    1          1.44       0.492663 
stat-001    1          1.47        0.48917 
stat-001    1           1.5       0.485725 
stat-001    1          1.53       0.482326 
stat-001    1          1.56       0.478971 
stat-001    1          1.59       0.475658 
stat-001    1          1.62       0.472388 
stat-001    1          1.65       0.469161 
stat-001    1          1.68       0.465975 
stat-001    1          1.71        0.46283 
stat-001    1          1.74       0.459724 
stat-001    1          1.77       0.456658 
stat-001    1           1.8       0.453629 
stat-001    1          1.83       0.450636 
stat-001    1          1.86       0.447679 
stat-001    1          1.89       0.444759 
stat-001    1          1.92       0.441873 
stat-001    1          1.95       0.439021 
stat-001    1          1.98         0.4362 
stat-001    1          2.01       0.433414 
stat-001    1          2.04       0.430662 
stat-001    1          2.07       0.427943 
stat-001    1           2.1       0.425253 
stat-001    1          2.13       0.422595 
stat-001    1          2.16       0.419967 
stat-001    1          2.19       0.417371 
stat-001    1          2.22       0.414804 
stat-001    1          2.25       0.412266 
stat-001    1          2.28       0.409756 
stat-001    1          2.31       0.407274 
stat-001    1          2.34       0.404819 
stat-001    1          2.37       0.402391 
stat-001    1           2.4       0.399989 
stat-001    1          2.43       0.397614 
stat-001    1          2.46       0.395263 
stat-001    1          2.49       0.392936 
stat-001    1          2.52       0.390636 
stat-001    1          2.55        0.38836 
stat-001    1          2.58        0.38611 
stat-001    1          2.61       0.383884 
stat-001    1          2.64        0.38168 
stat-001    1          2.67       0.379499 
stat-001    1           2.7        0.37734 
stat-001    1          2.73       0.375204 
stat-001    1          2.76       0.373089 
stat-001    1          2.79       0.370997 
stat-001    1          2.82       0.368926 
stat-001    1          2.85       0.366876 
stat-001    1          2.88       0.364847 
stat-001    1          2.91       0.362838 
stat-001    1          2.94        0.36085 
stat-001    1          2.97       0.358882 
stat-001    1             3       0.356935 
